case	consumer	rc	phase	surface	normalised_argv	instrument	reason
arms/A3/c07-competing-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c07-competing-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c07-competing-ro/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c07-competing-ro/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c07-competing-ro/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c07-competing-ro/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c07-competing-ro/consumers.tsv	next	0	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3/c07-competing-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg2b	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3/c07-competing-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg2b/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A3/c07-competing-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c07-competing-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c07-competing-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c07-competing-rw/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c07-competing-rw/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c07-competing-rw/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c07-competing-rw/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c07-competing-rw/consumers.tsv	next	0	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3/c07-competing-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg2b	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3/c07-competing-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg2b/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A3/c08-unanswered-vs-agent-owned-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c08-unanswered-vs-agent-owned-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c08-unanswered-vs-agent-owned-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c08-unanswered-vs-agent-owned-ro/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c08-unanswered-vs-agent-owned-ro/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c08-unanswered-vs-agent-owned-ro/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c08-unanswered-vs-agent-owned-ro/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c08-unanswered-vs-agent-owned-ro/consumers.tsv	next	0	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3/c08-unanswered-vs-agent-owned-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status ta3g	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3/c08-unanswered-vs-agent-owned-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/ta3g/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A3/c08-unanswered-vs-agent-owned-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c08-unanswered-vs-agent-owned-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c08-unanswered-vs-agent-owned-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c08-unanswered-vs-agent-owned-rw/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c08-unanswered-vs-agent-owned-rw/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c08-unanswered-vs-agent-owned-rw/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c08-unanswered-vs-agent-owned-rw/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c08-unanswered-vs-agent-owned-rw/consumers.tsv	next	0	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3/c08-unanswered-vs-agent-owned-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status ta3g	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3/c08-unanswered-vs-agent-owned-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/ta3g/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-ro/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-ro/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-ro/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-ro/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-ro/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-rw/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-rw/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-rw/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-rw/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-rw/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3/c09-524a-future-ts-ordinary-mtime-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-ro/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-ro/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-ro/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-ro/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-ro/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-rw/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-rw/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-rw/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-rw/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-rw/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3/c10-524b-ordinary-ts-future-mtime-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c01-dead-over-stale-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c01-dead-over-stale-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c01-dead-over-stale-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c01-dead-over-stale-ro/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c01-dead-over-stale-ro/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c01-dead-over-stale-ro/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c01-dead-over-stale-ro/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c01-dead-over-stale-ro/consumers.tsv	next	0	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c01-dead-over-stale-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tpairdeadoverstale	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c01-dead-over-stale-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tpairdeadoverstale/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c01-dead-over-stale-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c01-dead-over-stale-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c01-dead-over-stale-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c01-dead-over-stale-rw/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c01-dead-over-stale-rw/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c01-dead-over-stale-rw/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c01-dead-over-stale-rw/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c01-dead-over-stale-rw/consumers.tsv	next	0	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c01-dead-over-stale-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tpairdeadoverstale	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c01-dead-over-stale-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tpairdeadoverstale/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c02-stale-over-waitinguser-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c02-stale-over-waitinguser-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c02-stale-over-waitinguser-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c02-stale-over-waitinguser-ro/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c02-stale-over-waitinguser-ro/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c02-stale-over-waitinguser-ro/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c02-stale-over-waitinguser-ro/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c02-stale-over-waitinguser-ro/consumers.tsv	next	0	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c02-stale-over-waitinguser-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tpairstaleoverwaitinguser	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c02-stale-over-waitinguser-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tpairstaleoverwaitinguser/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c02-stale-over-waitinguser-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c02-stale-over-waitinguser-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c02-stale-over-waitinguser-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c02-stale-over-waitinguser-rw/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c02-stale-over-waitinguser-rw/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c02-stale-over-waitinguser-rw/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c02-stale-over-waitinguser-rw/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c02-stale-over-waitinguser-rw/consumers.tsv	next	0	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c02-stale-over-waitinguser-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tpairstaleoverwaitinguser	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c02-stale-over-waitinguser-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tpairstaleoverwaitinguser/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c03-waitinguser-over-blocked-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c03-waitinguser-over-blocked-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c03-waitinguser-over-blocked-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c03-waitinguser-over-blocked-ro/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c03-waitinguser-over-blocked-ro/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c03-waitinguser-over-blocked-ro/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c03-waitinguser-over-blocked-ro/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c03-waitinguser-over-blocked-ro/consumers.tsv	next	0	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c03-waitinguser-over-blocked-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tpairwaitinguseroverblocked	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c03-waitinguser-over-blocked-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tpairwaitinguseroverblocked/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c03-waitinguser-over-blocked-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c03-waitinguser-over-blocked-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c03-waitinguser-over-blocked-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c03-waitinguser-over-blocked-rw/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c03-waitinguser-over-blocked-rw/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c03-waitinguser-over-blocked-rw/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c03-waitinguser-over-blocked-rw/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c03-waitinguser-over-blocked-rw/consumers.tsv	next	0	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c03-waitinguser-over-blocked-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tpairwaitinguseroverblocked	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c03-waitinguser-over-blocked-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tpairwaitinguseroverblocked/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c04-blocked-over-throttled-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c04-blocked-over-throttled-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c04-blocked-over-throttled-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c04-blocked-over-throttled-ro/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c04-blocked-over-throttled-ro/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c04-blocked-over-throttled-ro/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c04-blocked-over-throttled-ro/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c04-blocked-over-throttled-ro/consumers.tsv	next	0	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c04-blocked-over-throttled-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tpairblockedoverthrottled	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c04-blocked-over-throttled-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tpairblockedoverthrottled/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c04-blocked-over-throttled-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c04-blocked-over-throttled-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c04-blocked-over-throttled-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c04-blocked-over-throttled-rw/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c04-blocked-over-throttled-rw/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c04-blocked-over-throttled-rw/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c04-blocked-over-throttled-rw/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c04-blocked-over-throttled-rw/consumers.tsv	next	0	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c04-blocked-over-throttled-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tpairblockedoverthrottled	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c04-blocked-over-throttled-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tpairblockedoverthrottled/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c05-throttled-over-unanswered-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c05-throttled-over-unanswered-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c05-throttled-over-unanswered-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c05-throttled-over-unanswered-ro/consumers.tsv	list-needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c05-throttled-over-unanswered-ro/consumers.tsv	list-needsattn-json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c05-throttled-over-unanswered-ro/consumers.tsv	list-active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c05-throttled-over-unanswered-ro/consumers.tsv	list-active-json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A3b/c05-throttled-over-unanswered-ro/consumers.tsv	next	0	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c05-throttled-over-unanswered-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tpairthrottledoverunanswered	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A3b/c05-throttled-over-unanswered-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tpairthrottledoverunanswered/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
